"Feature ID"	"Taxon"	"Confidence"
"030e229beb2aab6fbcbd528f8405baf7"	"d__Bacteria; p__Gemmatimonadota; c__S0134_terrestrial_group; o__S0134_terrestrial_group; f__S0134_terrestrial_group; g__S0134_terrestrial_group; s__uncultured_bacterium"	0.98310308478586
"0f0986fdf6380409d8df315c21ae825c"	"d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas"	0.987768748876067
"b0529cc9557407b0dadda7cda7f9084c"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales"	0.925581265857074
"b994625e06abffdc691863bfe7bad3c0"	"d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_soil"	0.863809364452889
"e3e8faf17c6f23a18faf291df43d8bc2"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__uncultured"	0.999998796661921
"a2f04d7433235a13487b27a848b0fe11"	"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella"	0.908182982929225
"b995eaf8ebda3f2b6a57fd964c2441ad"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__MND1; s__uncultured_Nitrosomonadaceae"	0.907876945542974
"bcf18d0deaa00878adab5d1ced5c8e08"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"	0.94057267363846
"105904fe6df9f4f55ff942deef0638bd"	"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium"	0.832632899645503
"0da62a55ab5475cf67d5645db4e99612"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter"	0.986302894391272
