"OTUID"	"WM13"	"WM14"	"WM15"	"WM16"	"WM20"	"WM21"	"WM22"	"WM23"	"WM24"	"WM25"	"WM26"	"WM27"	"WM28"	"WM29"	"WM30"	"WM43"	"WM44"	"WM45"	"WM46"	"WM48"	"WM49"	"WM50"	"WM51"	"WM52"	"WM53"	"WM55"	"WM56"	"WM57"	"WM58"	"WM60"
"5ebe82ef27d979e70a14b91260fb217e"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	2	0	0	0	0	0	0	0	0	0	0
"d9af71300cc3817573519d4fe21cd5fe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"80d6acbb005fc33efe1839364b067732"	18	5	8	10	5	0	3	5	0	0	0	0	0	0	0	18	1	2	10	8	4	4	1	0	2	0	4	9	0	7
"df22495eb58ecd22e2b46f725419bd12"	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"714c0d1aaeb156f26109a215fb4f8035"	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4bad3bed460ff43840f887df1fc290a1"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"05d96d17f7e01f3becde3ffa2b16995a"	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bebb71a76bd1949dc5bfaa1e679ec139"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dcf55f67f6b7ee3889c3190dcc2d4f29"	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5f7cc5c3e4e337891466655058a86efb"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"88bfa2e4f9ee52d26dfc73ac6cd88a62"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
